transaction_id,created_at,reporting_month,account_id,counterparty_account,transaction_group_id,transaction_type,status,amount,currency,balance_before,balance_after,regulatory_code,finalized,record_hash,prev_record_hash,metadata
tx000000-0000-0000-0000-00000000000D,2026-01-13T12:35:00Z,2026-01,ACC1006, ,GRP-202601-41,DEBIT,COMPLETED,30.00,USD,650.00,620.00,RPT01,True,hash00000000000000000000000000000000000000000000000000000000000D,hash00000000000000000000000000000000000000000000000000000000000C,note=small purchase|channel=CARD
tx000000-0000-0000-0000-00000000000E,2026-01-14T13:45:00Z,2026-01,ACC1007,CLIENT-999,GRP-202601-50,CREDIT,COMPLETED,200.00,USD,900.00,1100.00,RPT01,True,hash00000000000000000000000000000000000000000000000000000000000E,0000000000000000000000000000000000000000000000000000000000000000,note=salary|employer=XYZ Corp
tx000000-0000-0000-0000-00000000000F,2026-01-15T14:55:00Z,2026-01,ACC1007,MERCH-404,GRP-202601-51,DEBIT,COMPLETED,75.25,USD,1100.00,1024.75,RPT01,True,hash00000000000000000000000000000000000000000000000000000000000F,hash00000000000000000000000000000000000000000000000000000000000E,note=online purchase|merchant_category=Tech
tx000000-0000-0000-0000-000000000010,2026-01-16T15:05:00Z,2026-01,ACC1008,CLIENT-222,GRP-202601-60,CREDIT,COMPLETED,130.00,USD,400.00,530.00,RPT01,True,hash000000000000000000000000000000000000000000000000000000000010,00000000000000000000000000000000000000000000000000000000000000F,note=transfer|channel=WIRE
tx000000-0000-0000-0000-000000000011,2026-01-17T16:10:00Z,2026-01,ACC1008,MERCH-500,GRP-202601-61,DEBIT,COMPLETED,20.00,USD,530.00,510.00,RPT01,True,hash000000000000000000000000000000000000000000000000000000000011,hash000000000000000000000000000000000000000000000000000000000010,note=coffee|merchant_category=Food
tx000000-0000-0000-0000-000000000012,2026-01-18T17:20:00Z,2026-01,ACC1009,CLIENT-444,GRP-202601-70,CREDIT,COMPLETED,700.00,USD,50.00,750.00,RPT01,True,hash000000000000000000000000000000000000000000000000000000000012,0000000000000000000000000000000000000000000000000000000000000000,note=deposit|channel=ATM
tx000000-0000-0000-0000-000000000013,2026-01-19T18:30:00Z,2026-01,ACC1009,MERCH-601,GRP-202601-71,DEBIT,COMPLETED,40.00,USD,750.00,710.00,RPT01,True,hash000000000000000000000000000000000000000000000000000000000013,hash000000000000000000000000000000000000000000000000000000000012,note=books|merchant_category=Books
tx000000-0000-0000-0000-000000000014,2026-01-20T19:40:00Z,2026-01,ACC1010,CLIENT-777,GRP-202601-80,CREDIT,COMPLETED,320.00,USD,1200.00,1520.00,RPT01,True,hash000000000000000000000000000000000000000000000000000000000014,0000000000000000000000000000000000000000000000000000000000000000,note=refund|channel=CARD
tx000000-0000-0000-0000-000000000015,2026-01-21T20:50:00Z,2026-01,ACC1010,MERCH-800,GRP-202601-81,DEBIT,COMPLETED,15.75,USD,1520.00,1504.25,RPT01,True,hash000000000000000000000000000000000000000000000000000000000015,hash000000000000000000000000000000000000000000000000000000000014,note=snacks|merchant_category=Food
tx000000-0000-0000-0000-000000000016,2026-01-22T08:00:00Z,2026-01,ACC1011,CLIENT-121,GRP-202601-90,CREDIT,COMPLETED,900.00,USD,100.00,1000.00,RPT01,True,hash000000000000000000000000000000000000000000000000000000000016,0000000000000000000000000000000000000000000000000000000000000000,note=payroll|channel=WIRE
tx000000-0000-0000-0000-000000000017,2026-01-23T09:10:00Z,2026-01,ACC1011,MERCH-909,GRP-202601-91,DEBIT,COMPLETED,60.00,USD,1000.00,940.00,RPT01,True,hash000000000000000000000000000000000000000000000000000000000017,hash000000000000000000000000000000000000000000000000000000000016,note=hardware|merchant_category=Tech
tx000000-0000-0000-0000-000000000018,2026-01-24T10:20:00Z,2026-01,ACC1012,CLIENT-212,GRP-202601-92,CREDIT,COMPLETED,250.00,USD,400.00,650.00,RPT01,True,hash000000000000000000000000000000000000000000000000000000000018,0000000000000000000000000000000000000000000000000000000000000000,note=gift|channel=CARD
tx000000-0000-0000-0000-000000000019,2026-01-25T11:30:00Z,2026-01,ACC1012,MERCH-101,GRP-202601-93,DEBIT,COMPLETED,120.00,USD,650.00,530.00,RPT01,True,hash000000000000000000000000000000000000000000000000000000000019,hash000000000000000000000000000000000000000000000000000000000018,note=groceries|merchant_category=Food
tx000000-0000-0000-0000-00000000001A,2026-01-26T12:40:00Z,2026-01,ACC1013,CLIENT-313,GRP-202601-94,CREDIT,COMPLETED,400.00,USD,200.00,600.00,RPT01,True,hash00000000000000000000000000000000000000000000000000000000001A,0000000000000000000000000000000000000000000000000000000000000000,note=deposit|channel=ATM
tx000000-0000-0000-0000-00000000001B,2026-01-27T13:50:00Z,2026-01,ACC1013,MERCH-202,GRP-202601-95,DEBIT,COMPLETED,30.00,USD,600.00,570.00,RPT01,True,hash00000000000000000000000000000000000000000000000000000000001B,hash00000000000000000000000000000000000000000000000000000000001A,note=taxi|merchant_category=Transport
tx000000-0000-0000-0000-00000000001C,2026-01-28T14:55:00Z,2026-01,ACC1014,CLIENT-414,GRP-202601-96,CREDIT,COMPLETED,220.00,USD,800.00,1020.00,RPT01,True,hash00000000000000000000000000000000000000000000000000000000001C,0000000000000000000000000000000000000000000000000000000000000000,note=invoice|channel=WIRE
tx000000-0000-0000-0000-00000000001D,2026-01-29T15:05:00Z,2026-01,ACC1014,MERCH-303,GRP-202601-97,DEBIT,COMPLETED,55.00,USD,1020.00,965.00,RPT01,True,hash00000000000000000000000000000000000000000000000000000000001D,hash00000000000000000000000000000000000000000000000000000000001C,note=books|merchant_category=Books
tx000000-0000-0000-0000-00000000001E,2026-01-30T16:15:00Z,2026-01,ACC1015,CLIENT-515,GRP-202601-98,CREDIT,COMPLETED,600.00,USD,300.00,900.00,RPT01,True,hash00000000000000000000000000000000000000000000000000000000001E,0000000000000000000000000000000000000000000000000000000000000000,note=bonus|channel=HR
tx000000-0000-0000-0000-00000000001F,2026-01-31T17:25:00Z,2026-01,ACC1015,MERCH-404,GRP-202601-99,DEBIT,COMPLETED,80.00,USD,900.00,820.00,RPT01,True,hash00000000000000000000000000000000000000000000000000000000001F,hash00000000000000000000000000000000000000000000000000000000001E,note=clothes|merchant_category=Retail
tx000000-0000-0000-0000-000000000020,2026-02-01T08:00:00Z,2026-02,ACC1001,CLIENT-100,GRP-202602-01,CREDIT,COMPLETED,2000.00,USD,5750.00,7750.00,RPT01,True,hash000000000000000000000000000000000000000000000000000000000020,hash000000000000000000000000000000000000000000000000000000000002,note=large deposit|channel=ATM
tx000000-0000-0000-0000-000000000021,2026-02-02T09:10:00Z,2026-02,ACC1002,CLIENT-771,GRP-202602-02,DEBIT,COMPLETED,150.00,USD,4200.00,4050.00,RPT01,True,hash000000000000000000000000000000000000000000000000000000000021,hash000000000000000000000000000000000000000000000000000000000006,note=payment|channel=CARD
tx000000-0000-0000-0000-000000000022,2026-02-03T10:20:00Z,2026-02,ACC1003,CLIENT-222,GRP-202602-03,CREDIT,COMPLETED,100.00,USD,1955.00,2055.00,RPT01,True,hash000000000000000000000000000000000000000000000000000000000022,hash000000000000000000000000000000000000000000000000000000000018,note=refund|channel=CARD
tx000000-0000-0000-0000-000000000023,2026-02-04T11:30:00Z,2026-02,ACC1004,MERCH-777,GRP-202602-04,DEBIT,COMPLETED,20.00,USD,700.01,680.01,RPT01,True,hash000000000000000000000000000000000000000000000000000000000023,hash000000000000000000000000000000000000000000000000000000000009,note=small purchase|merchant_category=Retail
tx000000-0000-0000-0000-000000000024,2026-02-05T12:40:00Z,2026-02,ACC1005,CLIENT-555,GRP-202602-05,CREDIT,COMPLETED,250.00,USD,1800.00,2050.00,RPT01,True,hash000000000000000000000000000000000000000000000000000000000024,hash00000000000000000000000000000000000000000000000000000000000A,note=client payout|channel=WIRE
tx000000-0000-0000-0000-000000000025,2026-02-06T13:50:00Z,2026-02,ACC1006,CLIENT-888,GRP-202602-06,DEBIT,COMPLETED,12.00,USD,650.00,638.00,RPT01,True,invalidhashshort,hash00000000000000000000000000000000000000000000000000000000000C,note=subscription|plan=basic
tx000000-0000-0000-0000-000000000026,2026-02-07T14:55:00Z,2026-02,ACC1007,CLIENT-999,GRP-202602-07,CREDIT,COMPLETED,400.00,USD,1100.00,1500.00,RPT01,True,hash000000000000000000000000000000000000000000000000000000000026,hash00000000000000000000000000000000000000000000000000000000001E,note=salary|employer=XYZ
tx000000-0000-0000-0000-000000000027,2026-02-08T15:05:00Z,2026-02,ACC1008,MERCH-500,GRP-202602-08,DEBIT,COMPLETED,15.00,USD,530.00,515.00,RPT01,True,hash000000000000000000000000000000000000000000000000000000000027,hash000000000000000000000000000000000000000000000000000000000010,note=fast food|merchant_category=Food
tx000000-0000-0000-0000-000000000028,2026-02-09T16:15:00Z,2026-02,ACC1009,CLIENT-444,GRP-202602-09,CREDIT,COMPLETED,800.00,USD,750.00,1550.00,RPT01,True,hash000000000000000000000000000000000000000000000000000000000028,hash000000000000000000000000000000000000000000000000000000000012,note=deposit|channel=ATM
tx000000-0000-0000-0000-000000000029,2026-02-10T17:25:00Z,2026-02,ACC1010,MERCH-303,GRP-202602-10,DEBIT,COMPLETED,60.00,USD,1520.00,1460.00,RPT01,True,hash000000000000000000000000000000000000000000000000000000000029,hash000000000000000000000000000000000000000000000000000000000014,note=groceries|merchant_category=Food
tx000000-0000-0000-0000-00000000002A,2026-02-11T18:35:00Z,2026-02,ACC1011,CLIENT-121,GRP-202602-11,CREDIT,COMPLETED,950.00,USD,1000.00,1950.00,RPT01,True,hash00000000000000000000000000000000000000000000000000000000002A,hash000000000000000000000000000000000000000000000000000000000016,note=payroll|channel=WIRE
tx000000-0000-0000-0000-00000000002B,2026-02-12T19:45:00Z,2026-02,ACC1012,MERCH-101,GRP-202602-12,DEBIT,COMPLETED,130.00,USD,650.00,520.00,RPT01,True,hash00000000000000000000000000000000000000000000000000000000002B,hash000000000000000000000000000000000000000000000000000000000018,note=market|merchant_category=Food
tx000000-0000-0000-0000-00000000002C,2026-02-13T08:00:00Z,2026-02,ACC1013,CLIENT-313,GRP-202602-13,CREDIT,COMPLETED,500.00,USD,600.00,1100.00,RPT01,True,hash00000000000000000000000000000000000000000000000000000000002C,hash00000000000000000000000000000000000000000000000000000000001A,note=deposit|channel=ATM
tx000000-0000-0000-0000-00000000002D,2026-02-14T09:10:00Z,2026-02,ACC1014,MERCH-202,GRP-202602-14,DEBIT,COMPLETED,40.00,USD,1020.00,980.00,RPT01,True,hash00000000000000000000000000000000000000000000000000000000002D,hash00000000000000000000000000000000000000000000000000000000001C,note=books|merchant_category=Books
tx000000-0000-0000-0000-00000000002E,2026-02-15T10:20:00Z,2026-02,ACC1015,CLIENT-515,GRP-202602-15,CREDIT,COMPLETED,0.00,USD,900.00,900.00,RPT01,True,hash00000000000000000000000000000000000000000000000000000000002E,hash00000000000000000000000000000000000000000000000000000000001E,note=zero amount test|channel=TEST
tx000000-0000-0000-0000-00000000002F,2026-02-16T11:30:00Z,2026-02,ACC1016,MERCH-404,GRP-202602-16,DEBIT,COMPLETED,NaN,USD,820.00, ,RPT01,True,hash00000000000000000000000000000000000000000000000000000000002F,hash00000000000000000000000000000000000000000000000000000000001F,note=invalid amount|merchant_category=Tech
tx000000-0000-0000-0000-000000000030,2026-02-17T12:40:00Z,2026-02,ACC1016,CLIENT-626,GRP-202602-17,CREDIT,COMPLETED,250.00,US$,820.00,1070.00,RPT01,True,hash000000000000000000000000000000000000000000000000000000000030,hash00000000000000000000000000000000000000000000000000000000001F,note=invalid currency symbol
tx000000-0000-0000-0000-000000000031,2026-02-18 13:50:00,2026-02,ACC1017,CLIENT-727,GRP-202602-18,DEBIT,COMPLETED,45.00,USD,195.00,150.00,RPT01,True,hash000000000000000000000000000000000000000000000000000000000031,hash00000000000000000000000000000000000000000000000000000000002A,note=bad date format
tx000000-0000-0000-0000-000000000032,2026-02-19T14:55:00Z,2026-02,ACC1017, ,GRP-202602-19,CREDIT,COMPLETED,75.00,USD,150.00,225.00,RPT01,True,,hash000000000000000000000000000000000000000000000000000000000031,note=missing record_hash
tx000000-0000-0000-0000-000000000033,2026-02-20T15:05:00Z,2026-02,ACC1018,CLIENT-828,GRP-202602-20,DEBIT,FAILED,100.00,USD,400.00,300.00,RPT01,True,hash000000000000000000000000000000000000000000000000000000000033,hash000000000000000000000000000000000000000000000000000000000032,note=failed transaction
tx000000-0000-0000-0000-000000000034,2026-02-21T16:15:00Z,2026-02,ACC1018,MERCH-909,GRP-202602-21,DEBIT,COMPLETED,-50.00,USD,300.00,350.00,RPT01,True,hash000000000000000000000000000000000000000000000000000000000034,hash000000000000000000000000000000000000000000000000000000000033,note=negative amount error
tx000000-0000-0000-0000-000000000035,2026-02-22T17:25:00Z,2026-02,ACC1019,CLIENT-929,GRP-202602-22,CREDIT,COMPLETED,1000.00,USD,50.00,1050.00,RPT01,True,hash000000000000000000000000000000000000000000000000000000000035,hash00000000000000000000000000000000000000000000000000000000002E,note=deposit|channel=ATM
tx000000-0000-0000-0000-000000000036,2026-02-23T18:35:00Z,2026-02,ACC1020,MERCH-111,GRP-202602-23,DEBIT,COMPLETED,9.99,USD,100.00,90.01,RPT01,True,hash000000000000000000000000000000000000000000000000000000000036,hash000000000000000000000000000000000000000000000000000000000035,note=low value|merchant_category=Misc
tx000000-0000-0000-0000-000000000037,2026-03-01T08:00:00Z,2026-03,ACC1001,CLIENT-100,GRP-202603-01,CREDIT,COMPLETED,1500.00,USD,7750.00,9250.00,RPT01,True,hash000000000000000000000000000000000000000000000000000000000037,hash000000000000000000000000000000000000000000000000000000000020,note=pay in|channel=ACH
tx000000-0000-0000-0000-000000000038,2026-03-02T09:10:00Z,2026-03,ACC1002,CLIENT-771,GRP-202603-02,DEBIT,COMPLETED,300.00,USD,4050.00,3750.00,RPT01,True,hash000000000000000000000000000000000000000000000000000000000038,hash000000000000000000000000000000000000000000000000000000000021,note=loan repayment
tx000000-0000-0000-0000-000000000039,2026-03-03T10:20:00Z,2026-03,ACC1003,CLIENT-222,GRP-202603-03,CREDIT,COMPLETED,200.00,USD,2055.00,2255.00,RPT01,True,hash000000000000000000000000000000000000000000000000000000000039,hash000000000000000000000000000000000000000000000000000000000022,note=client deposit
tx000000-0000-0000-0000-00000000003A,2026-03-04T11:30:00Z,2026-03,ACC1004,MERCH-777,GRP-202603-04,DEBIT,COMPLETED,15.00,USD,680.01,665.01,RPT01,True,hash00000000000000000000000000000000000000000000000000000000003A,hash000000000000000000000000000000000000000000000000000000000023,note=coffee|merchant_category=Food
tx000000-0000-0000-0000-00000000003B,2026-03-05T12:40:00Z,2026-03,ACC1005,CLIENT-555,GRP-202603-05,CREDIT,COMPLETED,100.00,USD,2050.00,2150.00,RPT01,True,hash00000000000000000000000000000000000000000000000000000000003B,hash000000000000000000000000000000000000000000000000000000000024,note=small deposit
tx000000-0000-0000-0000-00000000003C,2026-03-06T13:50:00Z,2026-03,ACC1006,CLIENT-888,GRP-202603-06,DEBIT,COMPLETED,22.00,USD,638.00,616.00,RPT01,True,hash00000000000000000000000000000000000000000000000000000000003C,invalidprevhash,note=subscription renewal
tx000000-0000-0000-0000-00000000003D,2026-03-07T14:55:00Z,2026-03,ACC1007,CLIENT-999,GRP-202603-07,CREDIT,COMPLETED,250.00,USD,1500.00,1750.00,RPT01,True,hash00000000000000000000000000000000000000000000000000000000003D,hash000000000000000000000000000000000000000000000000000000000026,note=salary
tx000000-0000-0000-0000-00000000003E,2026-03-08T15:05:00Z,2026-03,ACC1008,MERCH-500,GRP-202603-08,DEBIT,COMPLETED,10.00,USD,515.00,505.00,RPT01,True,hash00000000000000000000000000000000000000000000000000000000003E,hash000000000000000000000000000000000000000000000000000000000027,note=snack
tx000000-0000-0000-0000-00000000003F,2026-03-09T16:15:00Z,2026-03,ACC1009,CLIENT-444,GRP-202603-09,CREDIT,COMPLETED,600.00,USD,1550.00,2150.00,RPT01,True,hash00000000000000000000000000000000000000000000000000000000003F,hash000000000000000000000000000000000000000000000000000000000028,note=deposit
tx000000-0000-0000-0000-000000000040,2026-03-10T17:25:00Z,2026-03,ACC1010,MERCH-303,GRP-202603-10,DEBIT,COMPLETED,70.00,USD,1460.00,1390.00,RPT01,True,hash000000000000000000000000000000000000000000000000000000000040,hash000000000000000000000000000000000000000000000000000000000029,note=electronics|merchant_category=Tech
tx000000-0000-0000-0000-000000000041,2026-03-11T08:30:00Z,2026-03,ACC1011,CLIENT-121,GRP-202603-11,CREDIT,COMPLETED,1100.00,USD,1950.00,3050.00,RPT01,True,hash000000000000000000000000000000000000000000000000000000000041,hash00000000000000000000000000000000000000000000000000000000002A,note=bonus
tx000000-0000-0000-0000-000000000042,2026-03-12T09:40:00Z,2026-03,ACC1012,MERCH-101,GRP-202603-12,DEBIT,COMPLETED,140.00,USD,520.00,380.00,RPT01,True,hash000000000000000000000000000000000000000000000000000000000042,hash00000000000000000000000000000000000000000000000000000000002B,note=market|merchant_category=Food
tx000000-0000-0000-0000-000000000043,2026-03-13T10:50:00Z,2026-03,ACC1013,CLIENT-313,GRP-202603-13,CREDIT,COMPLETED,500.00,USD,1100.00,1600.00,RPT01,True,hash000000000000000000000000000000000000000000000000000000000043,hash00000000000000000000000000000000000000000000000000000000002C,note=payin
tx000000-0000-0000-0000-000000000044,2026-03-14T11:55:00Z,2026-03,ACC1014,MERCH-202,GRP-202603-14,DEBIT,COMPLETED,55.00,USD,980.00,925.00,RPT01,True,hash000000000000000000000000000000000000000000000000000000000044,hash00000000000000000000000000000000000000000000000000000000002D,note=books
tx000000-0000-0000-0000-000000000045,2026-03-15T12:05:00Z,2026-03,ACC1015,CLIENT-515,GRP-202603-15,CREDIT,COMPLETED,700.00,USD,900.00,1600.00,RPT01,True,hash000000000000000000000000000000000000000000000000000000000045,hash00000000000000000000000000000000000000000000000000000000002E,note=bonus payout
tx000000-0000-0000-0000-000000000046,2026-03-16T13:15:00Z,2026-03,ACC1016,MERCH-404,GRP-202603-16,DEBIT,COMPLETED,49.99,USD, ,950.01,RPT01,True,hash000000000000000000000000000000000000000000000000000000000046,hash00000000000000000000000000000000000000000000000000000000002F,note=missing balance_before
tx000000-0000-0000-0000-000000000047,2026-03-17T14:25:00Z,2026-03,ACC1017,CLIENT-727,GRP-202603-17,CREDIT,COMPLETED,600.00,USD,150.00,750.00,RPT01,True,hash000000000000000000000000000000000000000000000000000000000047,hash000000000000000000000000000000000000000000000000000000000031,note=deposit
tx000000-0000-0000-0000-000000000048,2026-03-18T15:35:00Z,2026-03,ACC1018,MERCH-909,GRP-202603-18,DEBIT,COMPLETED,35.00,USD,300.00,265.00,RPT01,True,hash000000000000000000000000000000000000000000000000000000000048,hash000000000000000000000000000000000000000000000000000000000033,note=retail
tx000000-0000-0000-0000-000000000049,2026-03-19T16:45:00Z,2026-03,ACC1019,CLIENT-929,GRP-202603-19,CREDIT,COMPLETED,500.00,USD,1050.00,1550.00,RPT01,True,hash000000000000000000000000000000000000000000000000000000000049,hash000000000000000000000000000000000000000000000000000000000035,note=deposit
tx000000-0000-0000-0000-00000000004A,2026-03-20T17:55:00Z,2026-03,ACC1020,MERCH-111,GRP-202603-20,DEBIT,COMPLETED,9.99,USD,90.01,80.02,RPT01,True,hash00000000000000000000000000000000000000000000000000000000004A,hash000000000000000000000000000000000000000000000000000000000036,note=small item
tx000000-0000-0000-0000-00000000004B,2026-03-21T18:05:00Z,2026-03,ACC1001,CLIENT-100,GRP-202603-21,DEBIT,COMPLETED,3000.00,USD,9250.00,6250.00,RPT01,True,hash00000000000000000000000000000000000000000000000000000000004B,hash000000000000000000000000000000000000000000000000000000000037,note=big payout
tx000000-0000-0000-0000-00000000004C,2026-03-22T08:15:00Z,2026-03,ACC1002,CLIENT-771,GRP-202603-22,DEBIT,COMPLETED,400.00,USD,3750.00,3350.00,RPT01,True,hash00000000000000000000000000000000000000000000000000000000004C,hash000000000000000000000000000000000000000000000000000000000038,note=loan|channel=BANK
tx000000-0000-0000-0000-00000000004D,2026-03-23T09:25:00Z,2026-03,ACC1003,CLIENT-222,GRP-202603-23,CREDIT,COMPLETED,300.00,USD,2255.00,2555.00,RPT01,True,hash00000000000000000000000000000000000000000000000000000000004D,hash000000000000000000000000000000000000000000000000000000000039,note=client top-up
tx000000-0000-0000-0000-00000000004E,2026-03-24T10:35:00Z,2026-03,ACC1004,MERCH-777,GRP-202603-24,DEBIT,COMPLETED,25.00,USD,665.01,640.01,RPT01,True,hash00000000000000000000000000000000000000000000000000000000004E,hash00000000000000000000000000000000000000000000000000000000003A,note=dining
tx000000-0000-0000-0000-00000000004F,2026-03-25T11:45:00Z,2026-03,ACC1005,CLIENT-555,GRP-202603-25,CREDIT,COMPLETED,130.00,USD,2150.00,2280.00,RPT01,True,hash00000000000000000000000000000000000000000000000000000000004F,hash00000000000000000000000000000000000000000000000000000000003B,note=small deposit
tx000000-0000-0000-0000-000000000050,2026-03-26T12:55:00Z,2026-03,ACC1006,CLIENT-888,GRP-202603-26,DEBIT,COMPLETED,40.00,USD,616.00,576.00,RPT01,True,hash000000000000000000000000000000000000000000000000000000000050,hash00000000000000000000000000000000000000000000000000000000003C,note=service|merchant_category=Misc
tx000000-0000-0000-0000-000000000051,2026-03-27T13:05:00Z,2026-03,ACC1007,CLIENT-999,GRP-202603-27,CREDIT,COMPLETED,220.00,USD,1750.00,1970.00,RPT01,True,hash000000000000000000000000000000000000000000000000000000000051,hash00000000000000000000000000000000000000000000000000000000003D,note=salary
tx000000-0000-0000-0000-000000000052,2026-03-28T14:15:00Z,2026-03,ACC1008,MERCH-500,GRP-202603-28,DEBIT,COMPLETED,18.00,USD,505.00,487.00,RPT01,True,hash000000000000000000000000000000000000000000000000000000000052,hash00000000000000000000000000000000000000000000000000000000003E,note=breakfast
tx000000-0000-0000-0000-000000000053,2026-03-29T15:25:00Z,2026-03,ACC1009,CLIENT-444,GRP-202603-29,CREDIT,COMPLETED,350.00,USD,2150.00,2500.00,RPT01,True,hash000000000000000000000000000000000000000000000000000000000053,hash00000000000000000000000000000000000000000000000000000000003F,note=deposit
tx000000-0000-0000-0000-000000000054,2026-03-30T16:35:00Z,2026-03,ACC1010,MERCH-303,GRP-202603-30,DEBIT,COMPLETED,95.00,USD,1390.00,1295.00,RPT01,True,hash000000000000000000000000000000000000000000000000000000000054,hash000000000000000000000000000000000000000000000000000000000040,note=clothes
tx000000-0000-0000-0000-000000000055,2026-03-31T17:45:00Z,2026-03,ACC1011,CLIENT-121,GRP-202603-31,CREDIT,COMPLETED,500.00,USD,3050.00,3550.00,RPT01,True,hash000000000000000000000000000000000000000000000000000000000055,hash000000000000000000000000000000000000000000000000000000000041,note=bonus
tx000000-0000-0000-0000-000000000056,2026-04-01T08:00:00Z,2026-04,ACC1012,MERCH-101,GRP-202604-01,DEBIT,COMPLETED,10.00,USD,380.00,370.00,RPT01,True,hash000000000000000000000000000000000000000000000000000000000056,hash000000000000000000000000000000000000000000000000000000000042,note=market
tx000000-0000-0000-0000-000000000057,2026-04-02T09:10:00Z,2026-04,ACC1013,CLIENT-313,GRP-202604-02,CREDIT,COMPLETED,600.00,USD,1600.00,2200.00,RPT01,True,hash000000000000000000000000000000000000000000000000000000000057,hash000000000000000000000000000000000000000000000000000000000043,note=deposit
tx000000-0000-0000-0000-000000000058,2026-04-03T10:20:00Z,2026-04,ACC1014,MERCH-202,GRP-202604-03,DEBIT,COMPLETED,60.00,USD,925.00,865.00,RPT01,True,hash000000000000000000000000000000000000000000000000000000000058,hash000000000000000000000000000000000000000000000000000000000044,note=books
tx000000-0000-0000-0000-000000000059,2026-04-04T11:30:00Z,2026-04,ACC1015,CLIENT-515,GRP-202604-04,CREDIT,COMPLETED,800.00,USD,1600.00,2400.00,RPT01,True,hash000000000000000000000000000000000000000000000000000000000059,hash000000000000000000000000000000000000000000000000000000000045,note=payroll
